Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Max Gross Exposure [%],Symbol,Strategy
5.44321518750001e-07,15.270307793930197,3.750000128654504e-08,97.6923076923077,2.1229098605769294e-09,1.1499999997406325e-07,VETBTC,vwap_reversion
1.938976325000001e-07,16.870385626462806,9.99999371217361e-09,91.57894736842105,2.0944485000000015e-09,6.50000000003169e-08,VIDTBTC,vwap_reversion
0.0,inf,,,,0.0,WBTCBTC,vwap_reversion
-8.788899512499825e-07,-3.603975405212285,1.378607507263041e-06,38.63636363636363,-1.7065999005681462e-08,2.7875000003523437e-06,WIFBTC,vwap_reversion
-2.340829992499835e-06,-7.266100291498543,2.7937583411130618e-06,18.952618453865338,-5.6882272069820924e-09,4.325000000280678e-06,WLDBTC,vwap_reversion
-1.776492299999735e-07,-2.479105977994233,3.068105058900983e-07,6.906906906906906,-5.221686261260388e-10,1.0050000000255822e-06,XLMBTC,vwap_reversion
-4.1487493812497266e-06,-8.348571216185178,4.262725183255642e-06,11.572700296735905,-1.2215875515577808e-08,7.302500002815652e-06,XRPBTC,vwap_reversion
-7.030062324999689e-07,-5.12093862843091,7.867987648069175e-07,30.49645390070922,-4.554475824467868e-09,2.6500000001053726e-06,XTZBTC,vwap_reversion
-0.0033801658749998196,-3.6051415274436365,0.003980165874892805,52.293577981651374,-1.6584503325686284e-05,0.017450014127304587,YFIBTC,vwap_reversion
-4.425441218749811e-05,-5.824387538515158,4.782941225300874e-05,47.368421052631575,-1.1264109586464947e-07,0.00010502500016550893,ZECBTC,vwap_reversion
-9.729141787499745e-06,-2.230100728305225,1.8178459868067876e-05,73.83177570093457,-2.737262663551099e-08,4.680000005910174e-05,ZENBTC,vwap_reversion
-3.2021150449997794e-06,-5.18166306748311,3.5726298922027995e-06,34.763948497854074,-1.0488636840127867e-08,9.110000001245297e-06,ZROBTC,vwap_reversion
